Implementation, query, optimization, repetitions, stddev, time
Indexed Algebra, scripts/hugejoin/queries/180.sql, Simplify Expressions, 1000, 4.6539, 39.6203
Indexed Algebra, scripts/hugejoin/queries/180.sql, Unnesting, 1000, 4.19931, 86.9503
Indexed Algebra, scripts/hugejoin/queries/180.sql, Predicate Pushdown, 1000, 30.3379, 439.751
Indexed Algebra, scripts/hugejoin/queries/180.sql, Side-way Information Passing, 1000, 0.00131789, 0.025987
Indexed Algebra, scripts/hugejoin/queries/180.sql, Cardinality Estimation, 1000, 6.82162, 103.087
Indexed Algebra, scripts/hugejoin/queries/180.sql, Join Ordering, 1000, 165.86, 3342.54
Indexed Algebra, scripts/hugejoin/queries/180.sql, Common Subtree Elimination, 1000, 0.00990661, 0.037013
Indexed Algebra, scripts/hugejoin/queries/180.sql, Physical Planning, 1000, 20.6244, 442.358
Indexed Algebra, scripts/hugejoin/queries/180.sql, Total, 1000, 222.693, 4490.11
Indexed Algebra, scripts/hugejoin/queries/190.sql, Simplify Expressions, 1000, 3.66332, 43.2225
Indexed Algebra, scripts/hugejoin/queries/190.sql, Unnesting, 1000, 4.98273, 91.9923
Indexed Algebra, scripts/hugejoin/queries/190.sql, Predicate Pushdown, 1000, 20.4372, 467.708
Indexed Algebra, scripts/hugejoin/queries/190.sql, Side-way Information Passing, 1000, 0.00150427, 0.025928
Indexed Algebra, scripts/hugejoin/queries/190.sql, Cardinality Estimation, 1000, 7.82284, 111.756
Indexed Algebra, scripts/hugejoin/queries/190.sql, Join Ordering, 1000, 195.393, 3704.88
Indexed Algebra, scripts/hugejoin/queries/190.sql, Common Subtree Elimination, 1000, 0.00848683, 0.037214
Indexed Algebra, scripts/hugejoin/queries/190.sql, Physical Planning, 1000, 23.1689, 464.301
Indexed Algebra, scripts/hugejoin/queries/190.sql, Total, 1000, 232.339, 4915.1
Indexed Algebra, scripts/hugejoin/queries/200.sql, Simplify Expressions, 1000, 6.7784, 45.5446
Indexed Algebra, scripts/hugejoin/queries/200.sql, Unnesting, 1000, 5.96768, 96.5468
Indexed Algebra, scripts/hugejoin/queries/200.sql, Predicate Pushdown, 1000, 43.1153, 504.141
Indexed Algebra, scripts/hugejoin/queries/200.sql, Side-way Information Passing, 1000, 0.33321, 0.036361
Indexed Algebra, scripts/hugejoin/queries/200.sql, Cardinality Estimation, 1000, 7.61518, 114.609
Indexed Algebra, scripts/hugejoin/queries/200.sql, Join Ordering, 1000, 248.245, 4137.58
Indexed Algebra, scripts/hugejoin/queries/200.sql, Common Subtree Elimination, 1000, 0.00655946, 0.034368
Indexed Algebra, scripts/hugejoin/queries/200.sql, Physical Planning, 1000, 29.9842, 532.6
Indexed Algebra, scripts/hugejoin/queries/200.sql, Total, 1000, 325.658, 5431.55
Indexed Algebra, scripts/hugejoin/queries/210.sql, Simplify Expressions, 1000, 5.5746, 43.3491
